day,positives
1,0
2,0
3,0
4,2
5,1
6,1
7,1
8,2
9,1
10,1
11,3
12,0
13,0
14,0
15,2
16,2
17,0
18,1
19,3
20,0
21,3
22,2
23,3
24,1
25,3
26,2
27,1
28,2
29,3
30,1
31,0
32,0
33,4
34,1
35,3
36,1
37,3
38,2
39,2
40,1
41,1
42,0
43,1
44,2
45,5
46,2
47,2
48,2
49,1
50,2
51,0
52,3
53,1
54,1
55,3
56,5
57,2
58,3
59,0
60,0
61,1
62,1
63,0
64,3
65,0
66,1
67,3
68,1
69,0
70,0
71,2
72,2
73,3
74,0
75,2
76,3
77,1
78,3
79,2
80,1
81,4
82,0
83,0
84,1
85,3
86,3
87,0
88,3
89,1
90,2
91,0
92,2
93,0
94,0
95,0
96,0
97,3
98,1
99,1
100,2
101,2
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,3
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,2
120,1
121,1
122,1
123,2
124,5
125,1
126,0
127,0
128,4
129,1
130,3
131,0
132,0
133,0
134,2
135,1
136,2
137,0
138,0
139,0
140,0
141,1
142,1
143,2
144,2
145,0
146,5
147,3
148,0
149,1
150,1
151,0
152,4
153,3
154,0
155,2
156,3
157,0
158,1
159,1
160,1
161,3
162,1
163,0
164,1
165,3
166,1
167,0
168,1
169,2
170,5
171,2
172,1
173,4
174,1
175,0
176,2
177,1
178,2
179,0
180,2
181,3
182,3
183,0
184,2
185,4
186,3
187,3
188,3
189,2
190,2
191,0
192,1
193,0
194,2
195,2
196,0
197,0
198,3
199,0
200,1
201,2
202,2
203,1
204,2
205,0
206,1
207,3
208,3
209,1
210,1
211,1
212,2
213,2
214,0
215,3
216,3
217,2
218,0
219,2
220,0
221,2
222,0
223,0
224,1
225,0
226,2
227,1
228,2
229,2
230,1
231,2
232,0
233,0
234,2
235,0
236,0
237,3
238,0
239,1
240,4
241,1
242,2
243,0
244,2
245,1
246,3
247,0
248,1
249,2
250,3
251,1
252,0
253,1
254,1
255,1
256,2
257,2
258,2
259,2
260,1
261,1
262,0
263,0
264,0
265,1
266,4
267,2
268,2
269,1
270,2
271,5
272,0
273,0
274,1
275,0
276,2
277,0
278,0
279,2
280,0
