day,ward,positives
4,3,1
4,40,1
5,48,1
6,18,1
7,115,1
8,18,1
8,60,1
9,34,1
10,95,1
11,63,1
11,115,1
11,116,1
15,36,1
15,95,1
16,18,1
16,95,1
18,92,1
19,18,1
19,34,1
19,119,1
21,11,1
21,18,1
21,67,1
22,9,1
22,33,1
23,29,1
23,72,1
23,95,1
24,61,1
25,39,1
25,115,1
25,116,1
26,17,1
26,47,1
27,58,1
28,18,1
28,87,1
29,41,1
29,58,1
29,103,1
30,116,1
33,42,1
33,65,1
33,95,1
33,105,1
34,34,1
35,29,1
35,32,1
35,58,1
36,33,1
37,18,1
37,39,1
37,92,1
38,58,1
38,99,1
39,41,1
39,60,1
40,67,1
41,116,1
43,36,1
44,28,1
44,74,1
45,9,1
45,18,1
45,67,1
45,68,1
45,89,1
46,29,1
46,95,1
47,59,1
47,103,1
48,18,1
48,70,1
49,115,1
50,59,1
50,93,1
52,18,1
52,70,1
52,89,1
53,39,1
54,17,1
55,28,1
55,41,1
55,103,1
56,14,1
56,22,1
56,95,1
56,103,1
56,121,1
57,2,1
57,52,1
58,18,1
58,28,1
58,199,1
61,65,1
62,25,1
64,24,1
64,25,1
64,48,1
66,103,1
67,18,1
67,33,1
67,41,1
68,48,1
71,84,1
71,99,1
72,28,1
72,148,1
73,39,1
73,41,1
73,116,1
75,18,1
75,31,1
76,17,1
76,105,1
76,121,1
77,62,1
78,17,1
78,40,1
78,59,1
79,17,1
79,18,1
80,95,1
81,70,2
81,87,1
81,207,1
84,207,1
85,106,1
85,116,1
85,207,1
86,17,1
86,43,1
86,59,1
88,3,1
88,92,1
88,121,1
89,84,1
90,2,1
90,77,1
92,114,1
92,146,1
97,51,1
97,70,1
97,121,1
98,84,1
99,18,1
100,18,1
100,68,1
101,25,1
101,58,1
103,39,1
105,17,1
106,2,1
108,28,1
110,49,1
110,58,1
110,207,1
112,17,1
113,62,1
114,89,1
115,31,1
116,84,1
118,70,1
119,14,1
119,18,1
120,52,1
121,31,1
122,28,1
123,68,1
123,115,1
124,34,1
124,41,1
124,65,1
124,68,1
124,207,1
125,30,1
128,18,1
128,36,1
128,41,1
128,43,1
129,56,1
130,3,1
130,31,1
130,84,1
134,11,1
134,74,1
135,2,1
136,41,1
136,95,1
141,70,1
142,2,1
143,99,1
143,115,1
144,95,1
144,115,1
146,15,1
146,37,2
146,48,1
146,79,1
147,59,1
147,65,1
147,116,1
149,29,1
150,17,1
152,5,1
152,22,1
152,28,1
152,118,1
153,65,1
153,94,1
153,95,1
155,15,1
155,28,1
156,40,1
156,41,1
156,170,1
158,116,1
159,90,1
160,74,1
161,59,1
161,99,1
161,115,1
162,28,1
164,31,1
165,51,1
165,116,1
165,124,1
166,53,1
168,28,1
169,41,1
169,116,1
170,18,1
170,70,1
170,87,1
170,92,1
170,103,1
171,29,1
171,99,1
172,62,1
173,11,1
173,18,1
173,65,1
173,67,1
174,81,1
176,14,1
176,28,1
177,115,1
178,33,1
178,118,1
180,2,1
180,70,1
181,31,1
181,103,2
182,70,1
182,84,1
182,110,1
184,70,1
184,76,1
185,24,1
185,25,1
185,48,1
185,59,1
186,47,1
186,67,1
186,72,1
187,41,1
187,95,1
187,110,1
188,24,1
188,41,1
188,84,1
189,25,1
189,41,1
190,12,1
190,99,1
192,15,1
194,9,1
194,61,1
195,17,1
195,31,1
198,32,1
198,99,1
198,103,1
200,115,1
201,18,2
202,3,1
202,49,1
203,103,1
204,17,1
204,115,1
206,29,1
207,25,1
207,59,1
207,103,1
208,65,1
208,83,1
208,207,1
209,70,1
210,34,1
211,32,1
212,24,1
212,67,1
213,25,1
213,84,1
215,9,1
215,28,1
215,99,1
216,17,1
216,68,1
216,121,1
217,48,1
217,103,1
219,22,1
219,50,1
221,47,1
221,138,1
224,201,1
226,52,2
227,26,1
228,17,1
228,59,1
229,9,1
229,70,1
230,26,1
231,7,1
231,115,1
234,29,1
234,47,1
237,18,1
237,136,1
237,175,1
239,115,1
240,54,1
240,56,1
240,89,1
240,121,1
241,9,1
242,55,1
242,65,1
244,17,1
244,26,1
245,14,1
246,17,1
246,31,1
246,90,1
248,14,1
249,115,1
249,220,1
250,22,1
250,81,1
250,115,1
251,52,1
253,41,1
254,31,1
255,65,1
256,37,1
256,63,1
257,36,1
257,79,1
258,17,1
258,28,1
259,7,1
259,18,1
260,18,1
261,70,1
265,116,1
266,25,1
266,41,1
266,106,1
266,115,1
267,28,1
267,67,1
268,5,1
268,29,1
269,41,1
270,95,1
270,98,1
271,18,1
271,47,1
271,67,1
271,115,1
271,138,1
274,41,1
276,28,1
276,33,1
279,17,1
279,103,1
281,47,1
281,65,1
281,67,1
284,7,1
284,95,1
285,28,1
285,70,1
285,83,1
285,105,1
288,32,1
288,49,1
288,72,1
289,48,1
290,17,1
290,48,1
292,17,1
292,120,1
293,103,1
294,18,1
294,48,1
295,18,1
295,32,1
295,66,1
296,14,1
296,28,1
297,43,1
297,121,1
298,36,1
300,18,1
301,18,1
301,105,1
304,29,1
304,49,1
304,92,1
304,95,1
306,99,1
307,110,1
308,115,1
308,201,1
309,62,1
310,28,1
310,105,1
310,207,1
311,103,1
312,66,1
313,18,2
313,99,1
314,9,1
314,42,1
314,48,1
315,121,1
316,18,1
316,39,1
316,89,1
317,18,1
318,18,1
318,77,1
320,2,1
321,53,1
322,70,1
323,7,1
323,18,1
324,59,1
325,111,1
325,115,1
326,15,1
326,18,1
326,56,1
327,17,1
328,207,1
331,7,1
331,18,2
331,28,1
331,103,1
332,7,1
332,18,1
332,105,1
332,215,1
333,56,1
334,17,1
337,25,1
337,79,1
338,18,1
338,92,1
340,25,1
341,66,1
342,99,1
344,18,1
344,75,1
345,11,1
345,52,1
345,116,1
346,43,1
347,35,1
347,85,1
347,232,1
348,24,1
348,35,1
349,31,1
351,48,1
353,11,1
354,28,1
354,30,1
356,121,1
357,85,1
359,207,1
360,63,1
361,18,2
361,58,1
362,41,1
362,50,1
363,31,1
363,84,1
365,28,1
365,37,1
365,121,1
367,70,1
368,91,1
369,70,1
370,9,1
372,121,1
373,15,1
373,17,1
373,31,1
375,14,1
375,83,1
376,15,1
376,116,1
377,18,1
378,17,1
378,115,1
379,18,1
380,95,1
381,28,1
381,62,1
382,207,1
383,49,1
383,83,1
384,72,1
385,14,1
386,83,1
387,9,1
387,31,1
387,34,1
387,81,1
388,65,1
388,105,1
389,41,1
389,84,1
390,7,1
391,22,1
392,41,1
393,18,1
393,84,2
393,115,1
394,15,1
394,17,1
394,79,1
394,115,1
395,59,1
397,7,1
397,18,1
397,29,1
398,41,1
398,84,1
400,66,1
401,13,1
402,9,1
402,67,1
404,2,1
404,17,1
405,18,1
405,83,1
405,116,1
406,77,1
406,95,1
407,67,2
407,95,1
409,79,1
409,103,1
410,34,1
410,85,1
411,66,1
411,121,1
412,90,1
413,160,1
414,121,1
415,18,1
415,70,2
416,17,1
416,18,2
416,56,1
416,103,1
417,17,1
418,29,1
419,9,1
419,18,1
419,24,1
420,62,1
420,89,1
420,121,1
421,18,1
422,7,1
422,86,1
423,17,1
423,25,1
423,32,1
424,31,1
425,32,1
425,116,1
426,26,1
426,34,1
426,35,1
426,70,1
426,84,1
428,17,1
428,78,1
429,28,1
429,70,1
430,17,1
430,32,1
430,93,1
430,121,1
431,18,1
431,41,1
432,17,1
432,23,1
432,41,1
432,89,1
434,31,1
434,70,1
435,18,1
436,29,1
437,18,1
437,28,1
438,18,1
438,42,1
439,9,1
439,35,1
441,39,1
442,26,1
442,81,1
442,95,1
443,2,1
443,9,1
444,25,1
444,87,1
445,41,1
445,66,1
445,83,1
446,115,1
447,32,1
448,59,1
449,103,1
452,84,1
452,116,1
453,9,1
453,24,1
454,56,1
455,93,1
457,18,1
457,50,1
458,34,1
458,121,1
458,220,1
459,35,1
459,84,1
460,25,1
460,39,1
460,42,1
460,84,1
461,36,1
461,84,1
462,2,1
462,18,1
462,84,1
463,18,1
463,32,1
464,30,1
464,103,1
466,268,1
468,22,1
468,116,1
469,5,1
469,17,1
469,48,1
470,2,1
471,33,2
472,18,1
474,47,1
475,84,1
476,36,1
476,39,1
479,65,1
481,115,1
482,7,1
482,105,1
483,40,1
484,3,1
484,95,1
484,107,1
485,17,1
485,116,1
487,30,1
487,56,1
488,81,1
489,50,1
491,31,1
491,263,1
492,2,1
492,18,2
492,95,1
493,207,1
493,220,1
494,66,1
495,41,1
495,207,1
496,9,1
496,18,1
496,36,1
497,84,1
499,18,1
499,121,1
500,7,1
500,87,1
501,14,1
501,147,1
501,207,1
502,2,1
503,2,1
503,11,1
503,48,1
503,121,1
505,35,1
505,68,1
505,89,1
506,207,1
508,59,1
508,116,1
509,15,1
509,31,1
509,59,1
509,67,1
512,32,1
512,34,1
513,56,1
514,115,1
516,17,1
516,31,1
516,99,1
517,2,1
517,47,1
519,25,1
519,39,1
520,5,1
520,35,1
520,67,1
521,63,1
521,89,1
523,2,1
523,31,1
523,85,1
524,66,1
524,72,1
525,105,1
526,18,1
527,201,1
528,89,1
529,28,1
529,52,1
529,56,1
530,18,1
530,84,1
532,14,1
532,68,1
533,73,1
534,58,1
535,7,1
535,25,1
535,103,1
536,24,1
536,47,1
536,95,1
536,121,1
537,99,1
537,123,1
538,28,1
541,15,1
542,31,1
542,72,1
543,17,1
543,24,1
543,51,1
544,15,1
544,77,1
544,83,1
545,52,1
547,201,1
549,2,1
550,49,1
550,81,1
551,18,1
553,55,1
554,201,1
557,18,1
557,65,1
559,48,1
559,103,1
560,32,1
561,105,1
563,5,1
563,23,1
563,116,1
564,18,1
565,11,1
565,22,1
565,34,1
566,35,1
569,15,1
569,54,1
569,81,1
570,17,1
571,17,1
575,201,1
576,2,1
576,18,2
576,35,1
576,121,1
577,26,1
578,17,1
578,22,1
578,31,1
578,42,1
578,67,1
579,15,1
580,25,1
580,77,1
580,84,1
581,2,1
581,121,1
582,15,1
582,17,1
583,24,1
583,115,1
584,59,1
584,70,1
584,78,1
584,99,1
585,31,1
585,41,1
585,59,1
585,220,1
586,17,1
586,28,1
586,33,1
586,40,1
589,18,1
589,68,1
589,116,1
590,48,1
590,65,1
591,31,1
591,32,1
591,103,2
593,18,1
593,72,1
594,39,1
594,83,1
595,220,1
596,74,1
